CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"47,469","9,995","19,14,441",9.74,81.00,27.20,450,81.00,83.00,"2,650","17,900.00",50,150.10,153.55,50,-160.35,154.00,15.93,"2,93,366","12,828","16,957",
,"19,128","5,948","7,76,811",10.05,62.50,20.30,50,61.30,63.00,300,"17,950.00",100,182.25,185.55,50,-170.10,183.15,16.13,"41,243","3,497","4,630",
,"1,18,130","38,142","23,07,713",10.12,45.95,12.95,500,45.90,46.20,350,"18,000.00",100,214.55,216.00,"1,800",-182.65,213.05,16.11,"1,35,469","2,774","13,514",
,"34,799","19,435","7,25,458",10.14,32.60,7.45,"1,650",32.00,32.95,50,"18,050.00",450,244.85,255.80,150,-182.80,254.75,17.21,"13,822","1,818","2,527",
,"82,625","36,352","14,35,783",10.16,22.50,3.15,100,22.15,22.75,100,"18,100.00",100,290.75,293.00,800,-194.10,292.50,17.63,"15,672",439,"4,095",
,"35,941","22,975","7,64,908",10.57,17.00,2.35,"2,450",15.00,16.95,50,"18,150.00",450,249.15,378.90,300,-187.80,334.65,18.41,"1,362",83,548,
,"92,736","40,020","12,50,949",10.59,11.30,0.15,"1,700",10.70,11.30,"1,400","18,200.00",150,378.20,384.70,150,-186.40,383.35,19.94,"6,537",35,"2,919",
,"26,769","11,395","4,65,559",10.53,7.10,-1.30,"1,450",7.10,7.45,50,"18,250.00",50,425.40,429.90,150,-183.70,429.60,21.05,239,3,234,
,"79,466","37,678","7,51,809",10.80,5.00,-1.75,150,5.05,5.35,100,"18,300.00",50,473.10,475.75,50,-191.80,472.95,21.63,"2,114",115,"2,414",
,"25,974","15,311","2,68,038",11.22,3.80,-1.85,300,3.80,3.90,650,"18,350.00",450,501.55,533.35,50,-183.70,530.75,24.35,92,11,129,
,"46,774","10,811","4,97,315",11.75,3.10,-1.65,"2,750",3.00,3.10,"1,400","18,400.00",150,570.80,574.45,50,-193.90,572.00,24.47,437,20,"1,942",
,"9,507","2,692","1,11,244",12.39,2.70,-1.40,100,2.40,2.70,"1,000","18,450.00",150,612.95,632.30,150,-227.30,590.00,19.80,59,-32,139,
,"1,11,366","-1,232","7,77,747",12.83,2.15,-1.60,50,2.15,2.25,"1,650","18,500.00",450,645.90,688.05,450,-191.95,669.10,26.84,"2,174",-37,"3,303",
,"8,081","1,429","64,544",13.49,1.95,-1.15,50,1.65,2.00,"2,300","18,550.00",150,697.10,733.60,150,-178.70,725.00,29.26,10,8,69,
,"42,302","-2,953","2,40,158",13.88,1.55,-1.45,50,1.60,1.70,"1,300","18,600.00","2,150",746.40,794.10,400,-209.30,744.60,24.57,119,10,973,
,"6,755","1,376","37,292",14.63,1.50,-0.95,"7,050",1.35,1.60,"1,250","18,650.00","1,800",800.45,845.40,100,58.85,"1,044.75",62.64,28,4,25,
,"27,483","-2,195","2,11,798",15.07,1.25,-0.90,"45,850",1.20,1.25,"13,500","18,700.00",150,846.15,898.35,150,-208.65,850.35,28.35,40,2,512,
,"2,201",585,"15,873",15.60,1.10,-0.90,"28,550",1.10,1.25,"8,050","18,750.00",150,913.80,935.85,150,-167.45,920.00,33.73,1,1,91,
,"27,380","6,148","1,40,643",16.45,1.15,-0.75,400,1.10,1.15,"4,400","18,800.00","2,000",939.90,984.10,50,-209.75,950.75,30.87,48,3,146,
,"1,285",567,"6,464",17.02,1.05,-0.85,"7,450",1.00,1.05,"2,300","18,850.00",150,"1,005.65","1,036.40",150,-,"1,045.00",-,-,-,5,
,"10,802","3,223","86,675",17.77,1.05,-0.65,"14,950",0.95,1.05,"2,600","18,900.00",150,"1,045.40","1,091.10",150,-216.00,"1,040.00",30.37,3,2,52,
,"1,298",143,"7,307",18.18,0.90,-0.80,"11,500",0.90,0.95,"1,750","18,950.00",150,"1,096.50","1,145.35",150,-,"1,285.65",-,-,-,2,
,"47,023","1,399","2,70,148",18.91,0.90,-0.75,"34,500",0.90,0.95,"1,18,850","19,000.00",300,"1,164.30","1,176.90",450,-188.85,"1,170.00",40.05,625,16,"1,012",
,442,203,"4,567",19.51,0.85,-0.90,"7,700",0.85,1.10,50,"19,050.00",150,"1,194.90","1,231.15",150,-,-,-,-,-,-,
,"6,045","-1,153","27,468",20.09,0.80,-0.65,"7,250",0.80,0.85,"6,650","19,100.00",150,"1,249.40","1,277.70",100,-109.65,"1,420.35",67.53,2,2,9,
